"filename"	"nutt_ad"	"nutt_peer"	"target_child_id.x"	"tot"	"prop_peer"
"AlegreX/6a/08c.xml"	NA	3	16864	NA	NA
"AlegreX/6a/08d.xml"	NA	6	16867	NA	NA
"AlegreX/6a/08e.xml"	NA	29	16871	NA	NA
"AlegreX/6b/10d.xml"	NA	8	16895	NA	NA
"AlegreX/6b/11e.xml"	NA	3	16911	NA	NA
"AlegreX/6b/12a.xml"	NA	15	16768	NA	NA
"AlegreX/7a/13c.xml"	NA	13	16874	NA	NA
"AlegreX/7a/14.xml"	NA	14	16936	NA	NA
"AlegreX/7a/14e.xml"	NA	3	16944	NA	NA
"AlegreX/7a/15b.xml"	NA	12	16947	NA	NA
"AlegreX/7b/16.xml"	NA	11	16960	NA	NA
"AlegreX/7b/16c.xml"	NA	3	16966	NA	NA
"AlegreX/7b/17.xml"	NA	20	16914	NA	NA
"AlegreX/7b/17d.xml"	NA	15	16977	NA	NA
"AlegreX/7b/17h.xml"	NA	31	16830	NA	NA
"Altinkamis/010426.xml"	117	7	19043	124	0.0564516129032258
"Altinkamis/010521a.xml"	301	NA	NA	NA	NA
"Altinkamis/010521b.xml"	373	NA	NA	NA	NA
"Altinkamis/010708.xml"	332	NA	NA	NA	NA
"Altinkamis/010730.xml"	179	NA	NA	NA	NA
"Altinkamis/010819.xml"	226	NA	NA	NA	NA
"Altinkamis/010910.xml"	298	NA	NA	NA	NA
"Altinkamis/011002.xml"	280	NA	NA	NA	NA
"Altinkamis/011101.xml"	271	NA	NA	NA	NA
"Altinkamis/011123.xml"	266	NA	NA	NA	NA
"Altinkamis/020016.xml"	216	NA	NA	NA	NA
"Altinkamis/020108.xml"	128	NA	NA	NA	NA
"Altinkamis/020126.xml"	131	NA	NA	NA	NA
"Altinkamis/020306.xml"	285	NA	NA	NA	NA
"Altinkamis/020414.xml"	303	NA	NA	NA	NA
"Ambrose/HL/13/51SA_13.xml"	102	NA	NA	NA	NA
"Ambrose/HL/13/52CC_13.xml"	401	NA	NA	NA	NA
"Ambrose/HL/13/57ZK_13.xml"	315	NA	NA	NA	NA
"Ambrose/HL/13/58LL_13.xml"	551	NA	NA	NA	NA
"Ambrose/HL/13/60CS_13.xml"	383	NA	NA	NA	NA
"Ambrose/HL/13/61MC_13.xml"	181	NA	NA	NA	NA
"Ambrose/HL/13/66JP_13.xml"	358	NA	NA	NA	NA
"Ambrose/HL/13/70JW_13.xml"	305	NA	NA	NA	NA
"Ambrose/HL/13/74LA_13.xml"	484	NA	NA	NA	NA
"Ambrose/HL/13/76AM_13.xml"	332	NA	NA	NA	NA
"Ambrose/HL/13/80LA_13.xml"	415	NA	NA	NA	NA
"Ambrose/HL/13/81QF_13.xml"	513	NA	NA	NA	NA
"Ambrose/HL/13/83DR_13.xml"	491	NA	NA	NA	NA
"Ambrose/HL/13/85KB_13.xml"	608	NA	NA	NA	NA
"Ambrose/HL/13/86LS_13.xml"	555	0	6936	555	0
"Ambrose/HL/13/87FB_13.xml"	421	NA	NA	NA	NA
"Ambrose/HL/13/89CH_13.xml"	321	NA	NA	NA	NA
"Ambrose/HL/13/90BM_13.xml"	523	NA	NA	NA	NA
"Ambrose/HL/13/LR24_13.xml"	399	NA	NA	NA	NA
"Ambrose/HL/18/51SA_18.xml"	178	NA	NA	NA	NA
"Ambrose/HL/18/52CC_18.xml"	317	NA	NA	NA	NA
"Ambrose/HL/18/57ZK_18.xml"	293	NA	NA	NA	NA
"Ambrose/HL/18/58LL_18.xml"	484	NA	NA	NA	NA
"Ambrose/HL/18/60CS_18.xml"	507	NA	NA	NA	NA
"Ambrose/HL/18/61MC_18.xml"	236	NA	NA	NA	NA
"Ambrose/HL/18/66JP_18.xml"	471	NA	NA	NA	NA
"Ambrose/HL/18/70JW_18.xml"	336	NA	NA	NA	NA
"Ambrose/HL/18/74LA_18.xml"	463	NA	NA	NA	NA
"Ambrose/HL/18/76AM_18.xml"	302	NA	NA	NA	NA
"Ambrose/HL/18/80LA_18.xml"	344	NA	NA	NA	NA
"Ambrose/HL/18/81QF_18.xml"	533	NA	NA	NA	NA
"Ambrose/HL/18/82NE_18.xml"	393	NA	NA	NA	NA
"Ambrose/HL/18/83DR_18.xml"	535	NA	NA	NA	NA
"Ambrose/HL/18/85KB_18.xml"	618	NA	NA	NA	NA
"Ambrose/HL/18/86LS_18.xml"	614	NA	NA	NA	NA
"Ambrose/HL/18/87FB_18.xml"	542	NA	NA	NA	NA
"Ambrose/HL/18/90BM_18.xml"	643	NA	NA	NA	NA
"Ambrose/HL/18/JW36_18.xml"	371	NA	NA	NA	NA
"Ambrose/HL/18/LR24_18.xml"	322	NA	NA	NA	NA
"Ambrose/HL/22/52CC_22.xml"	409	NA	NA	NA	NA
"Ambrose/HL/22/57ZK_22.xml"	337	NA	NA	NA	NA
"Ambrose/HL/22/58LL_22.xml"	597	NA	NA	NA	NA
"Ambrose/HL/22/60CS_22.xml"	593	NA	NA	NA	NA
"Ambrose/HL/22/61MC_22.xml"	230	NA	NA	NA	NA
"Ambrose/HL/22/66JP_22.xml"	382	NA	NA	NA	NA
"Ambrose/HL/22/70JW_22.xml"	424	NA	NA	NA	NA
"Ambrose/HL/22/74LA_22.xml"	476	NA	NA	NA	NA
